FORMAT STUD1_CASH_RECEIPT STD ,
System, LedgerCode, DocRef, LineRef, RcptType, AllocRef, RevDocRef, RevLineRef, RcptDt, Amt, DrCrInd, UsrFld1, UsrFld2, UsrFld3, UsrFld4, UsrFld5
$S1CSR,13804378,PTUTS562533460T,1,$PAY,10032192,,,17/02/2023,-21563.00,CR,ST,,,,
$S1CSR,14068199,PTUTS707282779T,1,$PAY,10398254,,,17/02/2023,-12200.50,CR,ST,,,,
$S1CSR,14207207,PTUTS311737261T,1,$PAY,10410188,,,17/02/2023,-11496.84,CR,ST,,,,
$S1CSR,13720697,PTUTS941763473T,1,$PAY,10416041,,,17/02/2023,-18365.00,CR,ST,,,,
$S1CSR,14370478,PTUTS362915482T,1,$PAY,10402859,,,17/02/2023,-23058.00,CR,ST,,,,
$S1CSR,13994468,PTUTS936483774C,1,$PAY,10415197,,,17/02/2023,-21563.00,CR,ST,,,,
$S1CSR,13816879,PTUTS258157631C,1,$PAY,10396622,,,17/02/2023,-20688.00,CR,ST,,,,
$S1CSR,14347785,PTUTS372340255C,1,$PAY,10417843,,,17/02/2023,-19063.00,CR,ST,,,,
$S1CSR,13137310,PTUTS859536858T,1,$PAY,10289576,,,17/02/2023,-555.00,CR,ST,,,,
$S1CSR,14108082,PTUTS234546256T,1,$PAY,10406025,,,17/02/2023,-16213.00,CR,ST,,,,
$S1CSR,13140429,PTUTS508062053T,1,$PAY,10405477,,,17/02/2023,-15979.25,CR,ST,,,,
$S1CSR,14229948,PTUTS502332058T,1,$PAY,10622501,,,17/02/2023,-17171.23,CR,ST,,,,
$S1CSR,14192076,PTUTS453626796C,1,$PAY,10403513,,,17/02/2023,-18839.00,CR,ST,,,,
$S1CSR,13730825,PTUTS569111943T,1,$PAY,10397788,,,17/02/2023,-25067.00,CR,ST,,,,
$S1CSR,13472170,PTUTS607006720C,1,$PAY,10404097,,,17/02/2023,-28288.00,CR,ST,,,,
$S1CSR,13477500,PTUTS466371266T,1,$PAY,10613345,,,17/02/2023,-21563.00,CR,ST,,,,
$S1CSR,24627147,PTUTS346066876T,1,$PAY,10409374,,,17/02/2023,-14248.48,CR,ST,,,,
$S1CSR,14070306,PTUTS745686360T,1,$PAY,10405203,,,17/02/2023,-24173.00,CR,ST,,,,
$S1CSR,13670359,PTUTS940372085C,1,$PAY,10416784,,,17/02/2023,-21563.00,CR,ST,,,,
$S1CSR,14352948,PTUTS772325491T,1,$PAY,10416873,,,17/02/2023,-19408.00,CR,ST,,,,
$S1CSR,14450249,PTUTS235879134C,1,$PAY,10402462,,,17/02/2023,-15400.00,CR,ST,,,,
$S1CSR,14223832,PTUTS757777734T,1,$PAY,10629620,,,17/02/2023,-21563.00,CR,ST,,,,
$S1CSR,14450249,PTUTS969499309C,1,$PAY,10402462,,,17/02/2023,-4000.00,CR,ST,,,,
$S1CSR,14221826,PTUTS178322643T,1,$PAY,10412237,,,17/02/2023,-18365.48,CR,ST,,,,
$S1CSR,14088355,PTUTS154606288T,1,$PAY,10410948,,,17/02/2023,-17500.50,CR,ST,,,,
